tid;aksX;aksY;aksZ;rotX;rotY;rotZ;samples;dt
2024-10-31 10:39:37 ; 0.17;-0.22;9.68;0.05;0.03;0.06;40;101
2024-10-31 10:39:37 ; 0.17;-0.09;9.78;0.06;0.04;0.00;40;102
2024-10-31 10:39:37 ; 0.27;-0.07;9.92;0.01;0.00;0.00;40;102
2024-10-31 10:39:37 ; 0.18;-0.07;9.72;0.03;0.02;-0.00;40;101
2024-10-31 10:39:38 ; 0.16;-0.08;9.74;0.02;0.01;-0.02;40;102
2024-10-31 10:39:38 ; 0.28;-0.06;9.80;0.01;-0.00;-0.01;40;102
2024-10-31 10:39:38 ; 0.50;-0.01;9.69;0.01;0.03;-0.00;40;102
2024-10-31 10:39:38 ; 0.75;0.08;9.70;0.01;0.06;-0.01;40;101
2024-10-31 10:39:38 ; 0.67;0.13;9.78;0.01;0.05;-0.01;40;102
2024-10-31 10:39:38 ; 0.66;-0.08;9.45;-0.00;-0.00;-0.02;40;102
2024-10-31 10:39:38 ; 0.70;-0.04;9.49;0.08;-0.02;-0.05;40;101
2024-10-31 10:39:38 ; 0.76;-0.23;9.98;0.04;0.08;-0.11;40;102
2024-10-31 10:39:38 ; 0.89;-0.28;9.57;-0.03;0.09;-0.07;40;102
2024-10-31 10:39:38 ; 1.07;-0.53;9.48;-0.05;-0.02;-0.05;40;102
2024-10-31 10:39:39 ; 1.01;-0.47;9.88;0.04;0.04;-0.03;40;101
2024-10-31 10:39:39 ; 0.86;-0.22;10.20;-0.01;-0.05;0.02;40;102
2024-10-31 10:39:39 ; 0.39;-0.26;10.36;-0.02;-0.00;0.07;40;102
2024-10-31 10:39:39 ; 0.42;0.02;9.78;-0.07;-0.11;0.11;40;102
2024-10-31 10:39:39 ; 0.04;0.28;9.87;-0.02;0.06;0.07;40;101
2024-10-31 10:39:39 ; 0.47;0.11;8.76;0.01;-0.05;0.07;40;102
2024-10-31 10:39:39 ; 0.90;0.12;9.73;0.00;-0.13;0.09;40;102
2024-10-31 10:39:39 ; 0.66;0.20;9.88;-0.00;-0.04;0.03;40;101
2024-10-31 10:39:39 ; 0.39;-0.10;10.17;-0.00;-0.03;-0.04;40;102
2024-10-31 10:39:40 ; 0.36;-0.37;9.56;0.09;0.01;-0.12;40;102
2024-10-31 10:39:40 ; 0.26;-0.70;10.02;0.08;0.11;-0.06;40;101
2024-10-31 10:39:40 ; 0.40;-0.27;9.10;0.05;0.14;-0.03;40;101
2024-10-31 10:39:40 ; 0.79;-0.23;9.25;-0.05;-0.07;-0.03;40;102
2024-10-31 10:39:40 ; 1.29;-0.47;9.62;0.02;-0.13;-0.02;40;102
2024-10-31 10:39:40 ; 0.39;-0.40;11.09;0.12;0.13;-0.03;40;101
2024-10-31 10:39:40 ; -0.06;-0.09;9.92;0.03;0.06;-0.06;40;102
2024-10-31 10:39:40 ; -0.16;0.01;10.19;-0.02;0.05;-0.01;40;102
2024-10-31 10:39:40 ; 0.06;-0.06;8.88;-0.05;0.02;-0.05;40;102
2024-10-31 10:39:40 ; 0.68;-0.11;8.88;-0.01;-0.12;-0.09;40;101
2024-10-31 10:39:41 ; 1.03;-0.12;9.98;0.01;-0.04;-0.08;40;102
2024-10-31 10:39:41 ; 0.47;-0.24;10.55;-0.01;0.06;-0.12;40;102
2024-10-31 10:39:41 ; 0.11;-0.58;10.18;0.00;0.03;-0.16;40;101
2024-10-31 10:39:41 ; 0.19;-0.82;9.44;0.00;0.00;-0.16;40;101
2024-10-31 10:39:41 ; 0.67;-0.51;8.78;0.04;-0.05;-0.09;40;102
2024-10-31 10:39:41 ; 0.90;-0.41;9.28;0.04;0.02;-0.04;40;102
2024-10-31 10:39:41 ; 0.76;-0.29;10.19;0.06;-0.04;0.06;40;101
2024-10-31 10:39:41 ; 0.37;-0.19;10.85;0.05;0.05;-0.03;40;102
2024-10-31 10:39:41 ; 0.31;0.09;10.30;0.05;-0.03;0.00;40;102
2024-10-31 10:39:41 ; 0.37;0.05;8.95;-0.08;-0.05;0.02;40;101
2024-10-31 10:39:42 ; 0.92;-0.05;8.72;-0.10;-0.16;0.02;40;102
2024-10-31 10:39:42 ; 1.12;0.02;9.40;0.00;0.00;-0.03;40;102
2024-10-31 10:39:42 ; 0.66;0.05;10.57;0.09;0.09;-0.02;40;102
2024-10-31 10:39:42 ; 0.39;-0.22;10.49;0.01;0.12;-0.05;40;101
2024-10-31 10:39:42 ; 0.44;-0.82;9.52;-0.03;0.06;0.02;40;102
2024-10-31 10:39:42 ; 0.66;-0.48;8.63;-0.03;-0.01;0.05;40;102
2024-10-31 10:39:42 ; 0.98;-0.61;9.07;0.03;-0.02;0.08;40;101
2024-10-31 10:39:42 ; 1.06;-0.55;10.60;0.08;-0.05;0.11;40;102
2024-10-31 10:39:42 ; 0.74;-0.12;10.07;0.04;-0.06;0.06;40;102
2024-10-31 10:39:42 ; 0.68;-0.13;10.44;0.12;-0.10;0.12;40;101
2024-10-31 10:39:43 ; 0.28;0.20;8.86;0.01;0.22;0.13;40;101
2024-10-31 10:39:43 ; 0.71;-0.15;8.60;0.02;0.04;0.15;40;102
